video_id,frame_number,child_id,age,cds_present,face_present,child_present,adult_present,person_age_class,proximity,gaze_direction
44,21510,264556,4.31,0,1,0,1,adult,0.8317238147866703,1.0
44,21530,264556,4.31,0,0,0,1,adult,,none
44,21690,264556,4.31,0,0,0,0,none,,none
44,23450,264556,4.31,0,1,0,1,adult,0.6454749263296405,1.0
44,23590,264556,4.31,0,1,1,1,both,0.6418258163563471,1.0
44,23720,264556,4.31,0,0,0,1,adult,,none
44,23890,264556,4.31,0,0,0,0,none,,none
44,23920,264556,4.31,0,0,0,0,none,,none
44,24040,264556,4.31,0,0,1,0,child,,none
44,24320,264556,4.31,0,0,0,0,none,,none
44,24330,264556,4.31,0,0,0,0,none,,none
44,24520,264556,4.31,0,1,0,1,adult,0.48066078930674905,1.0
44,24730,264556,4.31,0,1,0,1,adult,0.7583286126408826,1.0
44,24760,264556,4.31,0,1,0,1,adult,0.8717178877484818,1.0
44,24790,264556,4.31,0,0,0,1,adult,,none
44,24800,264556,4.31,0,0,1,1,both,,none
44,25020,264556,4.31,0,1,0,1,adult,1.0,0.0
44,25050,264556,4.31,0,1,0,1,adult,0.6487531677913586,1.0
44,25300,264556,4.31,0,1,0,1,adult,0.6332696242096802,1.0
44,25370,264556,4.31,0,1,0,1,adult,0.68881817142555,0.0
44,25580,264556,4.31,0,1,0,1,adult,0.675946618744322,0.0
44,25720,264556,4.31,0,1,0,1,adult,0.6697654461856194,1.0
44,25920,264556,4.31,0,1,0,1,adult,0.6991467972820663,1.0
44,26330,264556,4.31,0,1,0,1,adult,0.7004163318778925,1.0
44,26400,264556,4.31,0,1,0,1,adult,0.6810260015253883,0.0
44,26950,264556,4.31,0,0,0,0,none,,none
44,27070,264556,4.31,0,0,0,0,none,,none
44,28190,264556,4.31,0,0,0,1,adult,,none
44,28930,264556,4.31,0,0,0,1,adult,,none
44,29200,264556,4.31,0,1,0,1,adult,0.7050483536638602,1.0
44,30420,264556,4.31,0,1,0,1,adult,0.6913114467795959,0.0
44,30440,264556,4.31,0,1,0,1,adult,0.6823650979560574,0.0
44,30540,264556,4.31,0,1,0,1,adult,0.7115024226515617,1.0
44,30580,264556,4.31,0,1,0,1,adult,0.6991017500831161,0.0
44,30730,264556,4.31,0,1,0,1,adult,0.7000133958828636,0.0
44,30890,264556,4.31,0,1,0,1,adult,1.0,1.0
44,31760,264556,4.31,0,0,0,1,adult,,none
44,32810,264556,4.31,0,0,1,0,child,,none
44,33500,264556,4.31,0,0,0,1,adult,,none
44,34130,264556,4.31,0,0,0,1,adult,,none
44,34480,264556,4.31,0,1,0,1,adult,0.7610865713987044,0.0
44,34550,264556,4.31,0,1,0,1,adult,0.6689899375009312,0.0
44,34920,264556,4.31,0,0,0,0,none,,none
44,35360,264556,4.31,0,0,0,0,none,,none
44,36000,264556,4.31,0,0,1,0,child,,none
44,36020,264556,4.31,0,0,1,0,child,,none
44,36380,264556,4.31,0,1,0,1,adult,0.7239035929791118,0.0
