video_id,frame_number,child_id,kchi_present,age,object_class
151,16200,257108,0,4.25,none
151,16200,257108,0,4.25,none
151,16200,257108,0,4.25,5
151,17160,257108,0,4.25,none
151,17160,257108,0,4.25,5
151,17400,257108,1,4.25,none
151,17400,257108,1,4.25,none
151,17640,257108,0,4.25,none
151,17660,257108,0,4.25,none
151,17660,257108,0,4.25,5
151,17660,257108,0,4.25,6
151,17710,257108,0,4.25,none
151,18120,257108,0,4.25,none
173,30,257578,0,4.04,10
173,30,257578,0,4.04,5
173,30,257578,0,4.04,5
173,40,257578,0,4.04,10
173,40,257578,0,4.04,5
173,140,257578,0,4.04,10
173,140,257578,0,4.04,5
173,140,257578,0,4.04,5
173,700,257578,0,4.04,10
173,700,257578,0,4.04,5
173,700,257578,0,4.04,6
173,1040,257578,0,4.04,6
173,1040,257578,0,4.04,6
173,1950,257578,0,4.04,10
173,1950,257578,0,4.04,none
173,2010,257578,0,4.04,none
173,2010,257578,0,4.04,5
173,2420,257578,0,4.04,none
173,3250,257578,0,4.04,none
173,3250,257578,0,4.04,none
173,3250,257578,0,4.04,none
173,5500,257578,0,4.04,6
173,6130,257578,0,4.04,10
173,6130,257578,0,4.04,none
173,6260,257578,0,4.04,none
173,6300,257578,0,4.04,none
173,12390,257578,0,4.04,5
173,13660,257578,0,4.04,10
173,13660,257578,0,4.04,10
173,13660,257578,0,4.04,none
173,13660,257578,0,4.04,5
173,13660,257578,0,4.04,5
173,14090,257578,0,4.04,10
173,14090,257578,0,4.04,none
173,14090,257578,0,4.04,5
173,14660,257578,0,4.04,10
173,14660,257578,0,4.04,none
173,14870,257578,0,4.04,10
173,14870,257578,0,4.04,10
173,14870,257578,0,4.04,none
173,14870,257578,0,4.04,none
173,14870,257578,0,4.04,5
173,14870,257578,0,4.04,5
173,14970,257578,0,4.04,10
173,14970,257578,0,4.04,10
173,14970,257578,0,4.04,none
173,14970,257578,0,4.04,6
173,15580,257578,0,4.04,10
173,15580,257578,0,4.04,none
173,15610,257578,0,4.04,none
173,15780,257578,0,4.04,10
173,16310,257578,0,4.04,10
173,16310,257578,0,4.04,none
173,16310,257578,0,4.04,5
173,17140,257578,0,4.04,none
173,17200,257578,0,4.04,none
173,17390,257578,0,4.04,10
173,17390,257578,0,4.04,10
173,17390,257578,0,4.04,none
173,17390,257578,0,4.04,5
173,17620,257578,0,4.04,10
173,17620,257578,0,4.04,none
173,17620,257578,0,4.04,5
173,17910,257578,0,4.04,10
173,17910,257578,0,4.04,none
173,17910,257578,0,4.04,5
173,18180,257578,0,4.04,10
173,18280,257578,0,4.04,10
173,18360,257578,0,4.04,10
173,18560,257578,0,4.04,10
173,18560,257578,0,4.04,none
173,18790,257578,0,4.04,7
173,19660,257578,0,4.04,none
173,20610,257578,0,4.04,none
173,20610,257578,0,4.04,7
173,21170,257578,0,4.04,none
173,21170,257578,0,4.04,5
173,21170,257578,0,4.04,7
173,23060,257578,0,4.04,none
173,23060,257578,0,4.04,5
173,23540,257578,0,4.04,none
173,23540,257578,0,4.04,5
173,24210,257578,0,4.04,10
173,24210,257578,0,4.04,none
173,24210,257578,0,4.04,5
173,25270,257578,0,4.04,none
173,25300,257578,0,4.04,none
173,27680,257578,0,4.04,none
173,27680,257578,0,4.04,none
173,27680,257578,0,4.04,5
173,28260,257578,0,4.04,none
173,28730,257578,0,4.04,none
173,28780,257578,0,4.04,none
173,29510,257578,0,4.04,none
173,29720,257578,0,4.04,none
173,30220,257578,0,4.04,none
173,30860,257578,0,4.04,none
173,33200,257578,0,4.04,none
173,33200,257578,0,4.04,7
173,33200,257578,0,4.04,7
173,33430,257578,0,4.04,10
173,33430,257578,0,4.04,7
173,33540,257578,0,4.04,none
173,33540,257578,0,4.04,7
173,33590,257578,0,4.04,none
173,33590,257578,0,4.04,none
173,33590,257578,0,4.04,7
173,33660,257578,0,4.04,none
173,33660,257578,0,4.04,none
173,33660,257578,0,4.04,7
173,33660,257578,0,4.04,7
173,33680,257578,0,4.04,none
173,33680,257578,0,4.04,none
173,33680,257578,0,4.04,7
173,33680,257578,0,4.04,7
173,33680,257578,0,4.04,7
173,34480,257578,0,4.04,7
173,35040,257578,0,4.04,7
173,35040,257578,0,4.04,7
173,35080,257578,0,4.04,7
173,35080,257578,0,4.04,7
173,35080,257578,0,4.04,7
173,35080,257578,0,4.04,7
173,35080,257578,0,4.04,7
173,35700,257578,0,4.04,7
173,35760,257578,0,4.04,7
173,35760,257578,0,4.04,7
173,35760,257578,0,4.04,7
173,36530,257578,0,4.04,7
173,39290,257578,0,4.04,10
173,39290,257578,0,4.04,none
173,39290,257578,0,4.04,7
173,39400,257578,0,4.04,7
173,39400,257578,0,4.04,7
173,39400,257578,0,4.04,7
173,39400,257578,0,4.04,7
173,39460,257578,0,4.04,7
173,39460,257578,0,4.04,7
173,39480,257578,0,4.04,7
173,39480,257578,0,4.04,7
173,40040,257578,0,4.04,7
173,40040,257578,0,4.04,7
173,40040,257578,0,4.04,9
173,40210,257578,0,4.04,none
173,40210,257578,0,4.04,none
173,40210,257578,0,4.04,7
173,40210,257578,0,4.04,7
173,40210,257578,0,4.04,7
173,40210,257578,0,4.04,7
173,40690,257578,0,4.04,7
173,40690,257578,0,4.04,7
173,41410,257578,0,4.04,7
173,41510,257578,0,4.04,7
173,41890,257578,0,4.04,none
173,41890,257578,0,4.04,7
173,41890,257578,0,4.04,7
173,42350,257578,0,4.04,7
173,42370,257578,0,4.04,7
173,42370,257578,0,4.04,7
173,43200,257578,0,4.04,none
173,43200,257578,0,4.04,7
173,43850,257578,0,4.04,7
173,43850,257578,0,4.04,7
173,44420,257578,0,4.04,none
173,44420,257578,0,4.04,7
173,44530,257578,0,4.04,7
173,44530,257578,0,4.04,7
173,44620,257578,0,4.04,7
173,44620,257578,0,4.04,7
173,44870,257578,0,4.04,7
173,44870,257578,0,4.04,7
173,45370,257578,0,4.04,7
173,46000,257578,0,4.04,7
173,46000,257578,0,4.04,7
173,46070,257578,0,4.04,none
173,46070,257578,0,4.04,7
173,46450,257578,0,4.04,none
173,46450,257578,0,4.04,7
173,46450,257578,0,4.04,7
173,46450,257578,0,4.04,7
173,46500,257578,0,4.04,7
173,46500,257578,0,4.04,7
173,46820,257578,0,4.04,7
173,46820,257578,0,4.04,7
173,47100,257578,0,4.04,7
173,47100,257578,0,4.04,7
173,47620,257578,0,4.04,7
173,47680,257578,0,4.04,7
173,47930,257578,0,4.04,7
173,47930,257578,0,4.04,7
173,48770,257578,0,4.04,7
173,49080,257578,0,4.04,7
173,49320,257578,0,4.04,7
173,50360,257578,0,4.04,7
173,50630,257578,0,4.04,7
203,300,258239,0,3.2,none
203,650,258239,1,3.2,none
203,740,258239,0,3.2,none
211,4230,258274,0,5.62,10
211,4230,258274,0,5.62,10
211,4230,258274,0,5.62,none
211,4620,258274,0,5.62,10
211,4620,258274,0,5.62,none
211,4970,258274,0,5.62,10
211,4970,258274,0,5.62,10
211,4970,258274,0,5.62,none
211,5370,258274,0,5.62,10
211,5370,258274,0,5.62,10
211,5370,258274,0,5.62,none
211,5520,258274,1,5.62,10
211,5520,258274,1,5.62,none
211,5930,258274,1,5.62,10
211,5930,258274,1,5.62,10
211,5930,258274,1,5.62,none
211,6520,258274,0,5.62,10
211,6520,258274,0,5.62,10
211,6520,258274,0,5.62,none
211,7710,258274,0,5.62,none
211,13280,258274,0,5.62,none
211,13280,258274,0,5.62,6
211,13780,258274,0,5.62,10
211,13780,258274,0,5.62,none
211,16080,258274,0,5.62,10
211,16080,258274,0,5.62,7
211,18190,258274,0,5.62,none
211,18410,258274,0,5.62,none
211,19420,258274,0,5.62,none
211,20600,258274,0,5.62,none
211,20600,258274,0,5.62,none
211,21200,258274,0,5.62,none
211,21200,258274,0,5.62,none
211,22240,258274,0,5.62,none
211,22380,258274,0,5.62,none
211,23990,258274,0,5.62,10
211,23990,258274,0,5.62,none
211,24990,258274,1,5.62,none
211,24990,258274,1,5.62,5
211,26640,258274,0,5.62,none
211,27160,258274,0,5.62,10
211,27160,258274,0,5.62,none
211,27160,258274,0,5.62,none
211,29040,258274,0,5.62,10
211,29040,258274,0,5.62,none
211,29610,258274,0,5.62,10
211,29610,258274,0,5.62,none
211,29610,258274,0,5.62,5
211,30060,258274,0,5.62,10
211,30060,258274,0,5.62,none
211,30540,258274,0,5.62,none
211,30900,258274,0,5.62,10
211,30900,258274,0,5.62,none
211,32060,258274,0,5.62,10
211,32060,258274,0,5.62,none
211,32060,258274,0,5.62,none
211,32180,258274,0,5.62,10
211,32180,258274,0,5.62,none
211,32980,258274,0,5.62,10
211,32980,258274,0,5.62,none
211,34510,258274,0,5.62,10
211,38460,258274,0,5.62,none
211,42850,258274,0,5.62,none
211,45320,258274,0,5.62,none
211,46370,258274,0,5.62,none
226,140,258541,0,5.87,none
226,240,258541,0,5.87,none
226,310,258541,0,5.87,none
226,310,258541,0,5.87,none
226,910,258541,0,5.87,none
226,1340,258541,0,5.87,10
226,1340,258541,0,5.87,none
226,1620,258541,0,5.87,10
226,1620,258541,0,5.87,6
226,1660,258541,0,5.87,10
226,1660,258541,0,5.87,6
226,3340,258541,0,5.87,none
226,3480,258541,0,5.87,10
226,3480,258541,0,5.87,none
226,3480,258541,0,5.87,none
226,3540,258541,0,5.87,10
226,3540,258541,0,5.87,none
226,3540,258541,0,5.87,none
226,3570,258541,0,5.87,10
226,3570,258541,0,5.87,none
226,4550,258541,0,5.87,none
226,6090,258541,0,5.87,none
226,6090,258541,0,5.87,none
226,6310,258541,0,5.87,10
226,6310,258541,0,5.87,none
226,6490,258541,0,5.87,none
226,7260,258541,0,5.87,10
226,7260,258541,0,5.87,none
226,7260,258541,0,5.87,6
226,9230,258541,0,5.87,none
226,9710,258541,0,5.87,none
226,9710,258541,0,5.87,6
226,10110,258541,0,5.87,10
226,10110,258541,0,5.87,none
226,10730,258541,0,5.87,none
226,10740,258541,0,5.87,none
226,10930,258541,0,5.87,none
226,10930,258541,0,5.87,none
226,11160,258541,0,5.87,10
226,11160,258541,0,5.87,none
226,11610,258541,0,5.87,none
226,13520,258541,0,5.87,none
226,13540,258541,0,5.87,none
226,14790,258541,0,5.87,10
226,15400,258541,0,5.87,none
226,15690,258541,0,5.87,none
78,440,260478,1,4.79,none
78,560,260478,0,4.79,none
78,1580,260478,1,4.79,10
78,1580,260478,1,4.79,none
78,1580,260478,1,4.79,none
78,1810,260478,0,4.79,10
78,1810,260478,0,4.79,none
78,1960,260478,1,4.79,none
78,1960,260478,1,4.79,none
78,2780,260478,1,4.79,10
78,2780,260478,1,4.79,none
78,2780,260478,1,4.79,7
78,2850,260478,1,4.79,10
78,2850,260478,1,4.79,none
78,3300,260478,1,4.79,10
78,3300,260478,1,4.79,none
78,3300,260478,1,4.79,none
78,3350,260478,1,4.79,10
78,3350,260478,1,4.79,none
78,3350,260478,1,4.79,6
78,3600,260478,0,4.79,10
78,3600,260478,0,4.79,none
78,3600,260478,0,4.79,none
78,5200,260478,1,4.79,10
78,5200,260478,1,4.79,none
78,5530,260478,1,4.79,10
78,5530,260478,1,4.79,none
78,5810,260478,1,4.79,none
78,5810,260478,1,4.79,none
78,6070,260478,1,4.79,10
78,6070,260478,1,4.79,none
78,6070,260478,1,4.79,6
78,7140,260478,0,4.79,10
78,7140,260478,0,4.79,none
78,7140,260478,0,4.79,none
78,7290,260478,1,4.79,none
78,7550,260478,1,4.79,none
78,8110,260478,0,4.79,10
78,8110,260478,0,4.79,none
78,8110,260478,0,4.79,6
78,8880,260478,1,4.79,10
78,8880,260478,1,4.79,none
78,9420,260478,0,4.79,none
78,9600,260478,0,4.79,none
78,9600,260478,0,4.79,none
78,9800,260478,0,4.79,10
78,9800,260478,0,4.79,10
78,9800,260478,0,4.79,none
78,9890,260478,0,4.79,none
78,9890,260478,0,4.79,6
78,10070,260478,0,4.79,none
78,10660,260478,1,4.79,none
78,11180,260478,0,4.79,10
78,11180,260478,0,4.79,none
78,11180,260478,0,4.79,6
78,11240,260478,1,4.79,none
78,11250,260478,1,4.79,none
78,11500,260478,1,4.79,none
78,11510,260478,1,4.79,none
78,13180,260478,0,4.79,none
78,13780,260478,0,4.79,none
78,14280,260478,1,4.79,none
78,14770,260478,0,4.79,none
78,14770,260478,0,4.79,none
78,15460,260478,0,4.79,none
78,15460,260478,0,4.79,none
78,16490,260478,1,4.79,10
78,16490,260478,1,4.79,10
78,16490,260478,1,4.79,none
78,16960,260478,0,4.79,10
78,16960,260478,0,4.79,none
78,16960,260478,0,4.79,none
78,16960,260478,0,4.79,6
78,17110,260478,0,4.79,none
78,17820,260478,1,4.79,none
78,17970,260478,1,4.79,none
78,18030,260478,0,4.79,10
78,18030,260478,0,4.79,none
78,18290,260478,0,4.79,none
78,18490,260478,0,4.79,none
78,18600,260478,0,4.79,none
78,19080,260478,0,4.79,none
78,19190,260478,0,4.79,10
78,19190,260478,0,4.79,10
78,19190,260478,0,4.79,none
78,19320,260478,0,4.79,none
78,21770,260478,1,4.79,none
78,21820,260478,1,4.79,none
78,22690,260478,0,4.79,none
78,22690,260478,0,4.79,none
78,22720,260478,0,4.79,none
78,22720,260478,0,4.79,none
78,23090,260478,0,4.79,none
78,23680,260478,1,4.79,10
78,23680,260478,1,4.79,none
78,23750,260478,0,4.79,10
78,23750,260478,0,4.79,none
78,23780,260478,1,4.79,none
78,24820,260478,1,4.79,10
78,24820,260478,1,4.79,none
78,25210,260478,0,4.79,10
78,25210,260478,0,4.79,none
78,25290,260478,0,4.79,10
78,25290,260478,0,4.79,none
78,25520,260478,0,4.79,none
78,26190,260478,1,4.79,none
78,27270,260478,1,4.79,none
78,28010,260478,0,4.79,none
78,29250,260478,1,4.79,none
78,29540,260478,1,4.79,none
78,29780,260478,1,4.79,none
78,30050,260478,1,4.79,none
78,30110,260478,0,4.79,none
78,30110,260478,0,4.79,6
78,30150,260478,1,4.79,none
78,30150,260478,1,4.79,6
78,30540,260478,0,4.79,10
78,30540,260478,0,4.79,none
78,30670,260478,1,4.79,10
78,30670,260478,1,4.79,none
78,30730,260478,0,4.79,10
78,30730,260478,0,4.79,none
78,31630,260478,0,4.79,none
78,32440,260478,0,4.79,none
78,32770,260478,0,4.79,10
78,32770,260478,0,4.79,10
78,32770,260478,0,4.79,none
78,33490,260478,0,4.79,none
78,33490,260478,0,4.79,none
78,33760,260478,1,4.79,10
78,33760,260478,1,4.79,none
78,34750,260478,0,4.79,none
78,34990,260478,1,4.79,10
78,34990,260478,1,4.79,none
78,35360,260478,1,4.79,10
78,35360,260478,1,4.79,10
78,35360,260478,1,4.79,none
78,35610,260478,0,4.79,none
78,35610,260478,0,4.79,none
78,35680,260478,1,4.79,10
78,35680,260478,1,4.79,none
78,35850,260478,0,4.79,none
78,35970,260478,1,4.79,none
78,37710,260478,1,4.79,10
78,37710,260478,1,4.79,none
78,38190,260478,0,4.79,10
78,38190,260478,0,4.79,none
78,38190,260478,0,4.79,none
78,38660,260478,1,4.79,none
78,39020,260478,0,4.79,none
78,39300,260478,1,4.79,10
78,39300,260478,1,4.79,10
78,39300,260478,1,4.79,10
78,39300,260478,1,4.79,none
78,39800,260478,0,4.79,10
78,39800,260478,0,4.79,none
78,39800,260478,0,4.79,none
78,40490,260478,1,4.79,10
78,40490,260478,1,4.79,none
78,40490,260478,1,4.79,5
78,41050,260478,0,4.79,10
78,41050,260478,0,4.79,none
78,41210,260478,0,4.79,10
78,41210,260478,0,4.79,10
78,41210,260478,0,4.79,none
78,41220,260478,0,4.79,10
78,41220,260478,0,4.79,10
78,41220,260478,0,4.79,none
78,41530,260478,0,4.79,10
78,41530,260478,0,4.79,none
78,41980,260478,1,4.79,none
78,41980,260478,1,4.79,none
78,41980,260478,1,4.79,none
78,42260,260478,1,4.79,10
78,42260,260478,1,4.79,10
78,42260,260478,1,4.79,none
78,42560,260478,1,4.79,none
78,42560,260478,1,4.79,none
78,42960,260478,0,4.79,none
78,42960,260478,0,4.79,none
78,43600,260478,0,4.79,10
78,43600,260478,0,4.79,none
78,43600,260478,0,4.79,5
78,44160,260478,1,4.79,none
78,45570,260478,1,4.79,10
78,45570,260478,1,4.79,none
78,45570,260478,1,4.79,none
78,46230,260478,1,4.79,10
78,46230,260478,1,4.79,none
78,46870,260478,1,4.79,10
78,46870,260478,1,4.79,none
78,46870,260478,1,4.79,5
78,47000,260478,1,4.79,10
78,47000,260478,1,4.79,none
78,47200,260478,0,4.79,10
78,47200,260478,0,4.79,none
78,47200,260478,0,4.79,none
78,47200,260478,0,4.79,5
78,47900,260478,0,4.79,10
78,49740,260478,0,4.79,10
303,140,262179,0,3.62,none
303,3110,262179,0,3.62,none
303,3360,262179,1,3.62,none
303,3380,262179,1,3.62,none
303,3380,262179,1,3.62,none
303,4240,262179,0,3.62,none
303,5470,262179,0,3.62,none
303,5540,262179,0,3.62,10
303,5540,262179,0,3.62,none
303,6660,262179,0,3.62,none
303,6840,262179,0,3.62,none
303,7000,262179,0,3.62,none
303,7750,262179,0,3.62,none
303,8090,262179,0,3.62,none
303,8280,262179,0,3.62,none
303,9800,262179,0,3.62,10
303,9800,262179,0,3.62,none
303,9990,262179,0,3.62,none
303,10240,262179,0,3.62,none
303,10240,262179,0,3.62,6
303,10450,262179,0,3.62,none
303,11440,262179,1,3.62,none
303,12310,262179,1,3.62,none
303,12780,262179,1,3.62,none
303,13050,262179,0,3.62,none
303,13960,262179,0,3.62,none
303,15270,262179,0,3.62,none
303,15340,262179,0,3.62,none
303,15880,262179,1,3.62,none
303,15940,262179,0,3.62,none
303,16080,262179,0,3.62,none
303,16450,262179,0,3.62,none
303,16450,262179,0,3.62,none
303,16590,262179,0,3.62,none
303,18080,262179,0,3.62,none
303,18500,262179,1,3.62,none
303,18880,262179,0,3.62,none
303,19040,262179,0,3.62,none
303,19310,262179,0,3.62,none
303,19370,262179,0,3.62,10
303,19370,262179,0,3.62,none
303,19800,262179,1,3.62,none
303,19800,262179,1,3.62,none
303,20230,262179,0,3.62,none
303,21010,262179,0,3.62,none
303,21180,262179,0,3.62,none
303,21180,262179,0,3.62,6
303,21740,262179,0,3.62,none
303,21740,262179,0,3.62,none
303,21750,262179,0,3.62,none
303,21930,262179,0,3.62,none
303,21930,262179,0,3.62,6
303,21960,262179,1,3.62,none
303,21960,262179,1,3.62,none
303,21960,262179,1,3.62,6
303,22480,262179,0,3.62,none
303,22850,262179,0,3.62,none
303,22850,262179,0,3.62,none
303,23070,262179,0,3.62,none
303,23160,262179,0,3.62,none
303,24270,262179,0,3.62,none
303,25000,262179,0,3.62,none
303,25000,262179,0,3.62,none
303,25120,262179,0,3.62,none
303,25120,262179,0,3.62,none
303,26020,262179,0,3.62,none
303,26020,262179,0,3.62,none
303,26100,262179,0,3.62,none
303,26220,262179,0,3.62,none
303,26490,262179,0,3.62,none
303,27220,262179,0,3.62,none
303,27870,262179,0,3.62,none
303,28440,262179,0,3.62,10
303,28720,262179,1,3.62,none
303,28720,262179,1,3.62,none
303,30490,262179,0,3.62,none
303,30490,262179,0,3.62,none
