video_id,frame_number,child_id,kchi_present,age,face_present,person_age_class_1,person_age_class_2,gaze_direction_1,gaze_direction_2
137,34510,255944,0,5.92,1,child,adult,1.0,0.0
137,35910,255944,0,5.92,0,adult,,,
137,38350,255944,0,5.92,0,adult,,,
137,41110,255944,0,5.92,0,child,,,
137,43250,255944,0,5.92,0,child,,,
137,43520,255944,0,5.92,0,child,,,
137,44820,255944,0,5.92,1,child,adult,1.0,
137,45430,255944,1,5.92,0,child,,,
137,45930,255944,0,5.92,0,child,,,
137,46560,255944,0,5.92,1,child,,1.0,
137,46600,255944,0,5.92,0,child,,,
137,46610,255944,0,5.92,0,child,,,
137,46900,255944,0,5.92,0,child,,,
137,47390,255944,0,5.92,0,child,,,
137,47640,255944,0,5.92,1,child,,1.0,
137,48810,255944,0,5.92,0,child,,,
137,48880,255944,0,5.92,0,child,,,
137,49500,255944,0,5.92,0,child,,,
137,49560,255944,1,5.92,1,child,,0.0,
137,49750,255944,0,5.92,0,child,,,
137,52160,255944,0,5.92,0,child,,,
137,53360,255944,1,5.92,0,child,,,
154,2940,257147,0,4.53,0,child,,,
154,4430,257147,0,4.53,0,child,,,
154,4650,257147,0,4.53,0,child,,,
154,4700,257147,0,4.53,0,child,,,
154,5040,257147,1,4.53,0,child,,,
154,5280,257147,0,4.53,0,child,,,
154,6080,257147,0,4.53,0,child,,,
154,7890,257147,1,4.53,0,child,,,
154,8700,257147,0,4.53,0,child,,,
154,9690,257147,0,4.53,0,child,,,
154,9770,257147,1,4.53,0,child,,,
154,10290,257147,0,4.53,0,child,,,
154,11400,257147,0,4.53,0,child,,,
154,11480,257147,1,4.53,0,child,,,
154,11670,257147,1,4.53,0,child,,,
154,12640,257147,0,4.53,0,child,,,
154,12740,257147,0,4.53,0,child,,,
154,12920,257147,0,4.53,0,child,,,
154,13420,257147,0,4.53,0,child,,,
154,13810,257147,0,4.53,0,child,,,
154,14510,257147,0,4.53,0,child,,,
154,14860,257147,1,4.53,0,child,,,
154,15310,257147,1,4.53,0,child,,,
154,15600,257147,0,4.53,0,child,,,
154,17070,257147,0,4.53,0,child,,,
154,18600,257147,1,4.53,0,child,,,
154,18710,257147,0,4.53,0,child,,,
154,19280,257147,0,4.53,0,child,,,
154,19450,257147,0,4.53,0,child,,,
