PROJECT;ID;Date;Nr;Seconds per ID;Minutes_per_ID;Seconds;Duration;Comments;file name  (generated automatically);SA_name;powershell rename command;Labeled;;nr str;date_str;;
quantex_share;266686;24.04.2024;2;10735;178,92;272,00;00:04:32;;quantex_share_id266686_2024_04_24_02;835202;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_04_24_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\835202.MP4;yes;;02;2024_04_24;;
quantex_share;266686;24.04.2024;1;10735;178,92;1800,00;00:30:00;;quantex_share_id266686_2024_04_24_01;410731;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_04_24_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\410731.MP4;yes;;01;2024_04_24;;
quantex_share;265943;28.04.2024;1;5563;92,72;1452,00;00:24:12;;quantex_share_id265943_2024_04_28_01;729394;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265943_2024_04_28_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\729394.MP4;yes;;01;2024_04_28;;
quantex_share;262703;29.04.2024;1;8190;136,50;1800,00;00:30:00;;quantex_share_id262703_2024_04_29_01;264487;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262703_2024_04_29_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\264487.MP4;yes;;01;2024_04_29;;
quantex_share;280429;01.05.2024;4;5264;87,73;1566,00;00:26:06;;quantex_share_id280429_2024_05_01_04;261409;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id280429_2024_05_01_04.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\261409.MP4;yes;;04;2024_05_01;;
quantex_share;280429;01.05.2024;3;5264;87,73;943,00;00:15:43;;quantex_share_id280429_2024_05_01_03;778146;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id280429_2024_05_01_03.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\778146.MP4;yes;;03;2024_05_01;;
quantex_share;280429;01.05.2024;2;5264;87,73;1511,00;00:25:11;;quantex_share_id280429_2024_05_01_02;424217;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id280429_2024_05_01_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\424217.MP4;yes;;02;2024_05_01;;
quantex_share;280429;01.05.2024;1;5264;87,73;1244,00;00:20:44;;quantex_share_id280429_2024_05_01_01;300654;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id280429_2024_05_01_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\300654.MP4;yes;;01;2024_05_01;;
quantex_share;266686;02.05.2024;1;10735;178,92;573,00;00:09:33;;quantex_share_id266686_2024_05_02_01;973541;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_05_02_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\973541.MP4;yes;;01;2024_05_02;;
quantex_share;264576;03.05.2024;1;5117;85,28;1211,00;00:20:11;;quantex_share_id264576_2024_05_03_01;152333;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264576_2024_05_03_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\152333.MP4;yes;;01;2024_05_03;;
